融资主体,count
深圳艾灵网络有限公司,4
济南森峰激光科技股份有限公司,4
达石药业（广东）有限公司,4
厦门茶市网有限公司,4
江西金力永磁科技股份有限公司,4
上海魅丽纬叶医疗科技有限公司,4
视涯科技股份有限公司,4
广东泉为科技股份有限公司,4
深圳乐播科技有限公司,4
众能联合数字技术有限公司,4
中国电信股份有限公司,4
进化半导体（深圳）有限公司,4
广东云徙智能科技有限公司,4
通用生物（安徽）股份有限公司,4
华电新能源集团股份有限公司,4
浙江同源康医药股份有限公司,4
湖南长远锂科股份有限公司,4
苏州迅芯微电子有限公司,4
广州亿程交通信息有限公司,4
武汉智化科技有限公司,4
弈柯莱生物科技（集团）股份有限公司,4
江苏先锋精密科技股份有限公司,4
芯瞳半导体技术（山东）有限公司,4
广州乐摇摇信息科技有限公司,4
安天科技集团股份有限公司,4
上海设序科技有限公司,4
江苏三责新材料科技有限公司,4
杭州纤纳光电科技有限公司,4
万有引力（宁波）电子科技有限公司,4
合肥颀中科技股份有限公司,4
苏州鼎纳自动化技术有限公司,4
苏州齐禾生科生物科技有限公司,4
银河航天（北京）网络技术有限公司,4
北京天坛生物制品股份有限公司,4
宁波中车新能源科技有限公司,4
深圳市华先医药科技有限公司,4
上海赛昉科技有限公司,4
南京数睿数据科技有限公司,4
湖南裕能新能源电池材料股份有限公司,4
百葵锐（深圳）生物科技有限公司,4
苏州锐杰微科技集团有限公司,4
苇创微电子（上海）有限公司,4
北京博清科技有限公司,4
上海布鲁可科技集团有限公司,4
成都狮之吼科技有限公司,4
江苏新元素医药科技有限公司,4
上海龙旗科技股份有限公司,4
航天云网科技发展有限责任公司,4
索思（苏州）医疗科技有限公司,4
芯天下技术股份有限公司,4
烟台德邦科技股份有限公司,4
中船（邯郸）派瑞特种气体股份有限公司,4
上海云简软件科技有限公司,4
创胜集团医药有限公司,4
深圳市山海半导体科技有限公司,4
新思考电机有限公司,4
